epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
90,3883.02,0.89358,0.36483,0.99058,0.98572,0.95444,0.97805,0.71588,1.0609,0.36261,1.04931,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,3996.95,0.88269,0.33073,0.99351,0.98008,0.95626,0.97712,0.71287,1.0633,0.36466,1.05458,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,4037.6,0.8655,0.32561,0.98916,0.97952,0.95857,0.9779,0.71425,1.06302,0.36566,1.05479,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,4077.5,0.85798,0.32344,0.98346,0.97682,0.95977,0.97739,0.71397,1.06376,0.36695,1.05532,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,4118.92,0.85467,0.32172,0.98311,0.97874,0.95672,0.97679,0.7157,1.06443,0.36762,1.05561,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,4159.24,0.84744,0.31791,0.98172,0.97765,0.95663,0.9764,0.71758,1.06469,0.36757,1.05542,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,4200.01,0.8436,0.3137,0.97395,0.97675,0.9571,0.97666,0.71608,1.0659,0.36727,1.05478,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,4240.52,0.84149,0.31388,0.97575,0.97759,0.95412,0.97658,0.71533,1.06705,0.36753,1.05449,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,4281.51,0.83259,0.30892,0.9755,0.97763,0.95585,0.9767,0.71558,1.06757,0.36809,1.05463,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,4321.97,0.82989,0.30677,0.97299,0.97944,0.95512,0.97691,0.71626,1.06602,0.36834,1.05401,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,4362.49,0.82881,0.30596,0.97406,0.98078,0.95444,0.97713,0.7172,1.06617,0.36814,1.05381,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
